,TS1_V2_turnbaugh,TS10_V2_turnbaugh,TS100_V2_turnbaugh,TS101.2_V2_turnbaugh,TS103_V2_turnbaugh,TS104_V2_turnbaugh,TS105_V2_turnbaugh,TS106_V2_turnbaugh,TS107_V2_turnbaugh,TS109_V2_turnbaugh,TS11_V2_turnbaugh,TS110_V2_turnbaugh,TS111_V2_turnbaugh,TS115_V2_turnbaugh,TS116_V2_turnbaugh,TS117_V2_turnbaugh,TS118_V2_turnbaugh,TS119_V2_turnbaugh,TS12_V2_turnbaugh,TS120_V2_turnbaugh,TS124_V2_turnbaugh,TS125_V2_turnbaugh,TS126_V2_turnbaugh,TS127_V2_turnbaugh,TS128_V2_turnbaugh,TS129_V2_turnbaugh,TS13_V2_turnbaugh,TS130_V2_turnbaugh,TS131_V2_turnbaugh,TS132_V2_turnbaugh,TS133_V2_turnbaugh,TS134_V2_turnbaugh,TS135_V2_turnbaugh,TS136_V2_turnbaugh,TS137_V2_turnbaugh,TS138_V2_turnbaugh,TS139_V2_turnbaugh,TS14_V2_turnbaugh,TS140_V2_turnbaugh,TS141_V2_turnbaugh,TS142_V2_turnbaugh,TS143_V2_turnbaugh,TS144_V2_turnbaugh,TS145_V2_turnbaugh,TS146_V2_turnbaugh,TS147_V2_turnbaugh,TS148_V2_turnbaugh,TS149_V2_turnbaugh,TS15_V2_turnbaugh,TS150_V2_turnbaugh,TS151_V2_turnbaugh,TS152_V2_turnbaugh,TS153_V2_turnbaugh,TS154.2_V2_turnbaugh,TS155_V2_turnbaugh,TS156_V2_turnbaugh,TS16_V2_turnbaugh,TS160_V2_turnbaugh,TS161_V2_turnbaugh,TS162_V2_turnbaugh,TS163_V2_turnbaugh,TS164_V2_turnbaugh,TS165_V2_turnbaugh,TS166_V2_turnbaugh,TS167_V2_turnbaugh,TS168_V2_turnbaugh,TS169_V2_turnbaugh,TS17_V2_turnbaugh,TS170_V2_turnbaugh,TS178_V2_turnbaugh,TS179_V2_turnbaugh,TS180_V2_turnbaugh,TS181_V2_turnbaugh,TS182_V2_turnbaugh,TS183_V2_turnbaugh,TS184_V2_turnbaugh,TS185_V2_turnbaugh,TS186_V2_turnbaugh,TS19_V2_turnbaugh,TS190_V2_turnbaugh,TS191_V2_turnbaugh,TS192_V2_turnbaugh,TS193_V2_turnbaugh,TS194_V2_turnbaugh,TS195_V2_turnbaugh,TS2_V2_turnbaugh,TS20_V2_turnbaugh,TS21_V2_turnbaugh,TS22_V2_turnbaugh,TS23_V2_turnbaugh,TS25_V2_turnbaugh,TS26_V2_turnbaugh,TS27_V2_turnbaugh,TS28_V2_turnbaugh,TS29_V2_turnbaugh,TS3_V2_turnbaugh,TS30_V2_turnbaugh,TS31_V2_turnbaugh,TS32_V2_turnbaugh,TS33_V2_turnbaugh,TS34_V2_turnbaugh,TS35_V2_turnbaugh,TS37_V2_turnbaugh,TS38_V2_turnbaugh,TS39_V2_turnbaugh,TS4_V2_turnbaugh,TS43_V2_turnbaugh,TS44_V2_turnbaugh,TS49_V2_turnbaugh,TS5_V2_turnbaugh,TS50_V2_turnbaugh,TS51_V2_turnbaugh,TS55_V2_turnbaugh,TS56_V2_turnbaugh,TS57_V2_turnbaugh,TS6_V2_turnbaugh,TS61_V2_turnbaugh,TS62_V2_turnbaugh,TS63_V2_turnbaugh,TS64_V2_turnbaugh,TS65_V2_turnbaugh,TS66_V2_turnbaugh,TS67_V2_turnbaugh,TS68_V2_turnbaugh,TS69_V2_turnbaugh,TS7_V2_turnbaugh,TS70_V2_turnbaugh,TS71_V2_turnbaugh,TS72_V2_turnbaugh,TS73_V2_turnbaugh,TS74_V2_turnbaugh,TS75_V2_turnbaugh,TS76_V2_turnbaugh,TS77_V2_turnbaugh,TS78_V2_turnbaugh,TS8_V2_turnbaugh,TS82_V2_turnbaugh,TS83_V2_turnbaugh,TS84_V2_turnbaugh,TS85_V2_turnbaugh,TS86_V2_turnbaugh,TS87_V2_turnbaugh,TS88_V2_turnbaugh,TS89_V2_turnbaugh,TS9_V2_turnbaugh,TS90_V2_turnbaugh,TS91_V2_turnbaugh,TS92_V2_turnbaugh,TS94_V2_turnbaugh,TS95_V2_turnbaugh,TS96_V2_turnbaugh,TS97_V2_turnbaugh,TS98_V2_turnbaugh,TS99.2_V2_turnbaugh
Leuconostoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007661,0,0.00095822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00066651,0.00086165,0,0,0,0,0,0,0,0,0,0.0003461,0,0,0,0,0,0,0,0,0,0,0.00014027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pediococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peptostreptococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00010252,0,0,0.00033972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00044773,0,0.00037822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21E-05,0,0,0.00019286,0,0.00040376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00026597,6.99E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.23E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcus,0.04390502,0.0004025,0.01107303,0.0023279,0.00076008,0.00049013,0.00805893,0.00139467,0.00055267,0.0145103,0.00070526,0.05138299,0.01426021,0.01312708,0.0029466,0.00972606,0.00081694,0.02439265,0.00046254,0.01697578,0.02044586,0.00031828,0.00521144,0.01580623,0.01899232,0.00893488,0.01898497,0.00416776,0.00046751,0.00649752,0.01265035,0.00063217,0.00847248,0.05236579,0.01049124,0.02947002,0.04381326,0.04390721,0.01692273,0.0052541,0.00033972,0.00045698,0.00545537,0.00031424,0.04072694,0.02185161,0.02750722,0.00075773,0.03394701,0.00035029,0.02206696,0.03876626,0.01447155,0.04746528,0.02756394,0.02651357,0.03737091,0.00585945,0.00871943,0.00122826,0.00621201,0.00231221,0.04869481,0.00023888,0.0584705,0.00980875,0.04669668,0.02008426,0.01212034,0,0.00116035,0.0024689,0.02706577,0.00918224,0.00425215,0.0040206,0.00388238,0.00556311,0.00021667,0.02663458,0.00126529,0.00589211,0.0124526,0.01971293,0.00860107,0.11024797,0.04324853,0.01105661,0.00049499,0,0.03693315,0.01602583,0.19050467,0.0815428,0.00279703,0.01710921,0.01038013,0.03380322,0.00087762,0.0169075,0.01090788,0.00565021,0.03776231,0.0119188,0.01430006,0.00060328,0.00630189,0.00627568,0.00064749,0.00139209,0.00896054,0.00095119,0.00022357,0.00884066,0.00089834,0.02285441,0.03011599,0.00209946,0.01016209,0.00207781,0.01204606,0.0101409,0.01542398,0.00919609,0.00014864,0.01869757,0.03604216,0.01214998,0.04358253,0.01461476,0.04344769,0.00060035,0.00377975,0.00073362,0.00051722,0.04864826,0.00099485,0.02079668,0.00042497,0.03053981,0.02196186,0.02446109,0.00070126,0.01283394,0.03078022,0.01907393,0.02864629,0.0025989,0.02144257,0.02566111,0.01566925,0.01019743,0.01920977,0.00875869
Sarcina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00690359,0,0,0,0,0,0,0,0.00469976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00050549,5.13E-05,8.93E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus,0,0.00783282,0.00486351,0.00498887,0.00455701,0.00073493,0.00201615,0.0329374,0.00952048,0.00101361,0.00581311,0.00716016,0.02475315,0.00103761,0.00189523,0.00178057,0,0.00092757,0.0277026,0,0.00340961,0.00047707,0.27790436,0.00035497,0.00782356,0.00750796,0.00179379,0,0.00175101,0.00046519,0.00949117,0,0.0017543,0.0004983,0.00071648,0.00090341,0.00581476,0.01028304,0,0.01510868,0.00254221,0.0037641,0.06418297,0.00094104,0,0.00736882,0.00028369,0.00556482,0.00295243,0.00297094,0.00109254,0,0.00034027,0,0,0.01989204,0.01173186,0,0,0,0.00279688,0.00173499,0.00067132,0.00035794,0.00226509,0.00245375,0.001052,0,0.02260945,0.00401154,0.0017406,0,0.00292789,0.00097117,0.00525417,0.00134131,0.00211882,0.00333938,0.00226625,0.00577888,0.00047527,0.00046624,0,0.00153088,0.00047894,0.00023565,0.00161352,0.00209792,0.03730963,0.04153894,0.01684191,0.00387926,0.01813106,0.00117073,0.00046716,0.00016144,0.00012762,0.00277921,0.00059889,0.01093409,0.00233897,0.00405504,0,0.02226307,0.00212299,0,0.00094645,0.04035162,0.00339623,0.00039859,0.00806726,0.00342282,0.00434264,0,0.00153981,0.00229889,0.00860814,0.00105058,0.00063628,0.0012475,0.00273942,0,0.00257235,0.00035477,0.16836546,0.00012297,0,0.01012852,0.01444852,0.00121922,0.00672179,0.00179965,0.02031856,0.00769604,0,0.00047072,0.00372918,0.00086777,0,0.00062024,0.00112437,0.01708657,0.00052637,0.00060274,0.00223212,0.03174197,0.02036101,0,0.00241398,0.00285307,0.03066648,0.00489691,0.00120195,0
Anaerobiospirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olsenella,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00957415,0.13630241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00124827,0,0,0,0,0,0,0,0,0,0,0,0,0.00103403,0,0,0,0,0,0.00126946,0,0,0,0,0,0,0,0,0.00161867,0,0,0.17315088,0.1265148,0,0,0.00044898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34744306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03397955,0,0,0,0.00146975,0,0,0.00876687,0,0,0,0,0,0,0,0,0.00708091,0,0,0
Enterococcus,0,0,0,0,0.04908834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00095822,0,0,0.00216747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00230466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.97E-05,0,0,0,0,0,0,0,0,0.02247335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00181437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactococcus,0,0.00162372,0,0,0,0,0.0018103,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00051107,0,0.00063915,0,0,0.00048244,0,0,0,0,0,0,0,0,0,0,0.00160712,0.00061645,0,0,0,0,0,0,0,0,0,0.00071464,0.00042841,0.00015786,0,0.00040273,0,0,0,0.00077749,0,0,0,0,0,0,0,0.00064196,0,0,0.00031555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01E-05,0,0.00421592,0.01377139,0.00038871,0,0,0,0.00041954,0,0,0.0003208,0,0,0,0,0.00032921,0,0,0,0,0,0.00043649,0.00053646,0.0029722,0.00012901,0.008397,0.00045904,0,0,0,0,0,0,0,0,0,0.00031864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009444,0,0,0,0,0,0,0,0,0,0,0
